지점,날짜,평균기온(℃),최고기온(℃),최저기온(℃),일강수량(mm),평균풍속(m/s),평균 상대습도(%)
188,2015-04-01,16.1,16.1,16.1,0.0,3.6,97.7
188,2015-04-02,13.4,13.4,13.4,0.0,4.5,89.5
189,2015-03-31,16.6,16.6,16.6,0.0,0.9,79.4
189,2015-04-01,16.1,16.1,16.1,0.0,1.8,99.3
189,2015-04-02,13.3,13.3,13.3,0.0,5.3,95.6
192,2015-03-31,12.6,12.6,12.6,0.0,1.1,91.4
192,2015-04-01,12.9,12.9,12.9,0.0,0.2,97.9
192,2015-04-02,8.8,8.8,8.8,0.0,0.4,97.9
201,2015-03-31,7.7,7.7,7.7,0.0,0.5,87.2
201,2015-04-01,11.9,11.9,11.9,0.0,2.2,92.7
201,2015-04-02,9.5,9.5,9.5,0.0,2.9,66.1
202,2015-03-31,11.9,11.9,11.9,0.0,0.9,61.8
202,2015-04-01,12.1,12.1,12.1,0.0,0.3,99.9
202,2015-04-02,9.7,9.7,9.7,0.0,2.8,64.1
203,2015-03-31,10.5,10.5,10.5,0.0,0.3,60.8
203,2015-04-01,11.6,11.6,11.6,0.4,0.8,91.0
203,2015-04-02,9.3,9.3,9.3,0.0,2.6,60.1
211,2015-03-31,13.6,13.6,13.6,0.0,4.0,34.9
211,2015-04-01,11.2,11.2,11.2,0.5,0.8,96.0
211,2015-04-02,2.3,2.3,2.3,0.0,1.4,89.4
212,2015-03-31,9.2,9.2,9.2,0.0,0.4,49.8
212,2015-04-01,12.1,12.1,12.1,0.5,0.8,99.9
212,2015-04-02,5.6,5.6,5.6,0.0,1.4,74.1
216,2015-03-31,13.1,13.1,13.1,0.0,1.8,32.8
216,2015-04-01,12.7,12.7,12.7,0.0,0.8,78.7
216,2015-04-02,2.1,2.1,2.1,0.0,2.0,89.8
217,2015-03-31,14.5,14.5,14.5,0.0,3.6,38.5
217,2015-04-01,11.1,11.1,11.1,0.5,0.7,99.9
217,2015-04-02,3.2,3.2,3.2,0.0,0.4,85.0
